iter	Passed	Remaining
0	0	79
1	1	85
2	2	82
3	3	76
4	3	74
5	4	71
6	5	70
7	6	69
8	6	67
9	7	66
10	8	66
11	8	65
12	9	64
13	10	64
14	11	63
15	11	62
16	12	61
17	13	60
18	14	61
19	15	61
20	16	60
21	16	60
22	17	59
23	18	59
24	19	59
25	21	60
26	22	59
27	22	58
28	23	57
29	24	56
30	25	55
31	26	55
32	26	54
33	27	53
34	28	52
35	29	51
36	29	50
37	30	49
38	31	48
39	31	47
40	32	47
41	33	45
42	34	45
43	34	44
44	35	43
45	36	42
46	37	42
47	38	41
48	38	40
49	40	40
50	40	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	35
56	45	34
57	46	33
58	47	32
59	47	31
60	48	31
61	49	30
62	49	29
63	50	28
64	51	27
65	52	26
66	52	26
67	53	25
68	54	24
69	55	23
70	55	22
71	56	21
72	57	21
73	57	20
74	58	19
75	59	18
76	60	17
77	60	17
78	61	16
79	62	15
80	62	14
81	63	13
82	64	13
83	64	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	68	7
90	69	6
91	70	6
92	70	5
93	71	4
94	72	3
95	72	3
96	73	2
97	73	1
98	74	0
99	75	0
